,Date,Open,High,Low,Close,Adj Close,Volume,Returns,Log_Returns,Price_Range,Price_Range_Pct,SMA_5,SMA_20,EMA_5,EMA_20,RSI,BB_Middle,BB_Upper,BB_Lower,K_Line,D_Line,Volume_SMA_5,Volume_SMA_20,Volume_Ratio,MACD,EMA_12,MACD_Signal,Daily_Volatility,ATR
0,2018-02-05,262.0,267.899994,250.029999,254.259995,254.259995,11896100.0,0.0,0.0,17.86999499999999,0.07028236982384896,0.0,0.0,254.259995,254.259995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-02-06,247.699997,266.700012,245.0,265.720001,265.720001,12595800.0,0.045071998054589724,0.0440857807033348,21.700012000000015,0.08166495528501828,0.0,0.0,258.07999700000005,255.35142414285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.914188512820516,0.914188512820516,0.18283770256410323,0.0,0.0
2,2018-02-07,266.579987,272.450012,264.329987,264.559998,264.559998,8981500.0,-0.004365508789833328,-0.004375065446585502,8.120024999999998,0.030692565245634747,0.0,0.0,260.2399973333334,256.22843117687074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.527479119585081,1.527479119585081,0.4517659859682988,0.0,0.0
3,2018-02-08,267.079987,267.619995,250.0,250.100006,250.100006,9306700.0,-0.054656758804481065,-0.05620719923983852,17.619995000000017,0.07045179759012088,0.0,0.0,256.8600002222223,255.64477163621638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8370666534366933,0.8370666534366933,0.5288261194619778,0.0,0.0
4,2018-02-09,253.850006,255.800003,236.110001,249.470001,249.470001,16906900.0,-0.002519012334609938,-0.002522190384333989,19.690001999999993,0.0789273336315896,256.8220002,0.0,254.39666714814823,255.05669824229102,0.0,0.0,0.0,0.0,0.0,0.0,11937400.0,0.0,1.4162966810193174,0.23634917536102762,0.23634917536102762,0.47033073064178776,0.0,0.0
5,2018-02-12,252.139999,259.149994,249.0,257.950012,257.950012,8534900.0,0.03399210713114975,0.03342714272165814,10.149993999999992,0.03934868589965405,257.5600036,0.0,255.58111543209884,255.3322519335014,0.0,0.0,0.0,0.0,0.0,0.0,11265160.0,0.0,0.7576368200717966,0.43947625464235784,0.43947625464235784,0.4641598354419018,0.0,0.0
6,2018-02-13,257.290009,261.410004,254.699997,258.269989,258.269989,6855200.0,0.0012404612720080532,0.0012396925355844246,6.710007000000019,0.02598059118669037,256.07000120000004,0.0,256.47740662139927,255.61203641602506,0.0,0.0,0.0,0.0,0.0,0.0,10117040.0,0.0,0.677589492578857,0.6191383565904971,0.6191383565904971,0.4951555396716209,0.0,0.0
7,2018-02-14,260.470001,269.880005,260.329987,266.0,266.0,10972000.0,0.029929962168387947,0.02949080203481369,9.550017999999966,0.03590232330827055,256.35800159999997,0.0,259.6516044142662,256.60136628116555,0.0,0.0,0.0,0.0,0.0,0.0,10515140.0,0.0,1.0434478285595816,1.3694826090388688,1.3694826090388688,0.6700209535450705,0.0,0.0
8,2018-02-15,270.029999,280.5,267.630005,280.269989,280.269989,10759700.0,0.05364657518797,0.05225707622916165,12.869995000000017,0.04591998967110252,262.3919982,0.0,266.5243992761775,258.8555208258164,0.0,0.0,0.0,0.0,0.0,0.0,10805740.0,0.0,0.9957393015193776,3.080099221537864,3.080099221537864,1.1520366071436292,0.0,0.0
9,2018-02-16,278.730011,281.959991,275.690002,278.519989,278.519989,8312400.0,-0.006243979265293409,-0.00626355443098614,6.26998900000001,0.0225118097358535,268.20199579999996,0.0,270.52292918411837,260.7283273185958,0.0,0.0,0.0,0.0,0.0,0.0,9086840.0,0.0,0.9147734525973826,4.245623926811618,4.245623926811618,1.770754071077227,0.0,0.0
